median_household_income,city
51500,Mark
51490,Maroa
51413,Capron
51406,Fithian
51402,Warrensburg
51382,Lakewood Shores
51354,Hodgkins
51281,Lyons
51270,Bridgeview
51250,Bellevue
51250,Clear Lake
51250,Concord
51250,Emden
51250,Fairview
51250,Lebanon
51250,Loda
51250,Symerton
51181,Thomasboro
51136,Chesterfield
51111,Harrison
5180,Worth
5133,Momence
50938,South Pekin
50875,Hooppole
50875,Littleton
50833,Alhambra
50833,Farmington
50750,Chestnut
50749,Forest Park
50714,Allendale
50707,Chenoa
50625,Gulfport
50625,Oakdale
50625,Ransom
50593,Loves Park
50588,Alpha
50486,Atlanta
50485,Zion
50352,Bartonville
50335,Arcola
50333,Atwood
50316,Bellwood
50273,Farmer City
50257,Henry
50209,Moline
50192,Homer
50179,Ashmore
50156,Morrisonville
50150,Stickney
50139,Chadwick
50114,Oakwood
5042,Carthage
5042,Hazel Crest
500,Adeline
500,Huey
500,Mount Olive
500,Raritan
500,Saunemin
500,Varna
49938,Niantic
49873,East Peoria
49813,Knoxville
49800,Warren
49684,Lansing
49643,Carbon Hill
49643,Redmon
49601,Peoria Heights
49570,Tremont
49500,Greenview
49479,Moweaqua
49444,Mccullom Lake
49423,Belvidere
49375,Cantrall
49375,Henderson
49375,Minier
49375,New Minden
49326,Jerseyville
49306,Cornell
49306,Fairbury
49286,Hindsboro
49286,Stonington
49271,Williamsfield
49231,Marshall
49231,Tiskilwa
49219,El Paso
49219,Mendon
49205,Sherrard
49167,Cutler
49167,Strasburg
4999,Carterville
48929,Camargo
48857,Hillsboro
48848,Springfield
48842,Crest Hill
48819,Durand
48750,Baldwin
48750,Dorchester
48750,Hidalgo
48750,Hometown
48750,Industry
48750,Lee
48750,North Pekin
48750,Shabbona
48689,Peru
48666,Niles
48571,Woodlawn
48544,Pekin
48529,Hopedale
48438,Banner
48438,Easton
48435,Pontiac
48417,Stewardson
48393,Campus
48393,Loami
48351,Riverton
48348,Payson
48333,Atkinson
48333,Delavan
48320,Paxton
48319,Park Forest
48250,Neponset
48162,Alexis
48125,Belle Rive
48125,Milledgeville
48125,Yale
4888,Mechanicsburg
4877,Sublette
4863,Glasford
4836,Media
47975,Summit
47917,Gays
47917,Little York
47875,Maquon
47831,Chicago
